article id	author	year	title	journal/conference/collection	abstract	reference IDs	isDHQ
000070	Terras, Melissa M.	2010	The Potential and Problems in using High Performance Computing in the Arts and Humanities: the Researching e-Science Analysis of Census Holdings (ReACH) Project.	Digital Humanities Quarterly	e-Science and high performance computing (HPC) have the potential to allow large datasets to be searched and analysed quickly, efficiently, and in complex and novel ways. Little application has been made of the processing power of grid technologies to humanities data, due to lack of available large-scale datasets, and little understanding of or access to e-Science technologies. The Researching e-Science Analysis of Census Holdings (ReACH) scoping study, an AHRC-funded e-science workshop series, was established to investigate the potential application of grid computing to a large dataset of interest to historians, humanists, digital consumers, and the general public: historical census records. Consisting of three one-day workshops held at UCL in Summer 2006, the workshop series brought together expertise across different domains to ascertain how useful, possible, or feasible it would be to analyse datasets from Ancestry and The National Archives using the HPC facilities available at UCL. This article details the academic, technical, managerial, and legal issues highlighted in the project when attempting to apply HPC to historical data sets. Additionally, generic issues facing humanities researchers attempting to utilise HPC technologies in their research are presented.	adams1995 | anderson2001 | ahds2004 | ahds2005 | ahds2006 | ahrc2006 | bbc2004 | blaikie2005 | brodlie2004 | burnett1980 | campop2006 | crocket2006 | davies2005 | davies2006 | dillon2001 | dunn1946 | dunn2009 | ep1996 | fleury1956 | fure2000 | garrett2006 | garrett2003 | gutmann1977 | higgs2005 | hc1992 | hc1994 | hc2006 | holmes2006 | huntington2007 | impedovo1993 | inman2002 | itic2003 | iso2005 | katz1972 | kingston2006 | lloyd2004 | mansfield2006 | mcgraw1989 | mcgraw1990 | mills1989 | newcombe1988 | nitsch2006 | nicholas2006 | perkyns1991 | perkyns1993 | prdh2000 | reid2006 | riedel2007 | robey2006 | sauleau2005 | schurer2002 | shadbolt1990 | stallings2005 | stallings2008 | terras2006 | tilley2003a | tilley2003b | tillot1972 | ucl2006a | ucl2006b | warwick2008 | winchester1970 | winkler2001 | woollard1997	1	
000071	Ainsworth, Peter | Meredith, Michael	2010	e-Science for Medievalists: Options, Challenges, Solutions and Opportunities	Digital Humanities Quarterly	Medievalists typically resort to parchment for primary research and when editing their sources. Not always accurately catalogued, manuscripts copied onto animal skins may have started life in the same workshop but over the centuries have become dispersed, coming to rest in libraries all over the world; bringing these together entails travel, microfilm purchases and reassembly and collation of the data within reach of a microfilm reader. These unwieldy machines afford only moderate scope for exploring single manuscripts at close quarters. High-resolution digitisation yields not just better surrogates in full colour; it allows for the development of additional research tools using image compression and manipulation, and new modes of representation, e.g. juxtaposed display of several related witnesses. This paper outlines research questions underpinning the development of an electronic tool for viewing, transcribing and manipulating manuscripts; it moves on to show how the viewer can be adapted for access from remote sites, to compare and annotation one or more witnesses (interactively and in real time), and for use as an integral part of an online edition. Finally, it explores how it can be deployed for use on projects taking knowledge outside the academy: in museums, galleries and other public spaces.	ainsworth | kiernan1997	1	
000072	Gold, Nicolas	2010	Service-Oriented Software in the Humanities: A Software Engineering Perspective	Digital Humanities Quarterly	Software Engineering, as a sub-discipline of the broader field of computer science, is concerned with the production, use, and maintenance of large, complex software systems. On first inspection, the set of managerial and technical activities involved in software engineering appears to be somewhat orthogonal to core research activity in the humanities, being concerned more with the production of research-enabling software systems than the research itself. However, as the scale of software used in digital humanities has increased, it is becoming clear that there are ways in which software engineering can inform, inspire, and aid in the management of the larger-scale software systems now being constructed in these disciplines. In particular, the development of service technology to aid in the production of flexible software systems for business now offers opportunities, not only for collaborative data sharing, but also the modelling, capture, provenancing, and replay of the research (and possibly creative) process itself. This paper examines, from the perspective of a software engineer relatively new to the digital humanities, how the recent developments in service-oriented architectures could be used to enable new approaches to digital enquiry in the arts and humanities. The first part of the paper presents a brief history of software engineering, with particular reference to the aspects that have led to service-oriented architectures. In the second part, the paper offers some thoughts on how certain aspects of service-oriented architectures could be used to enable new kinds of computer-based research and practice in the arts and humanities. It also introduces important national initiatives in this area, such as the JISC e-Framework programme for Higher Education.	bennett2001a | bennett2001b | brereton1999 | brooks1987 | deroure2008 | dunn2007 | ieee1990 | iso2002 | jisc2007 | kernighan1988 | kotsiopoulos2003 | krafzig2004 | lientz1980 | naur1969 | oasis2007 | parnas1972 | peltz2003 | swanson1976 | syed2006 | szyperski2002 | cnmat2007 | w3c2005 | whitbread2007	1	
000073	Unsworth, John	2010	The Making of Our Cultural Commonwealth	Digital Humanities Quarterly	Reflections on the ACLS Commission on Cyberinfrastructure		1	
000074	Sporton, Gregory	2010	The e Prefix: e-Science, e-Art & the New Creativity	Digital Humanities Quarterly	What does it mean to put an e ahead of a concept? This essay discusses the purpose of doing such a thing, arguing there is a distinct method in the apparent randomness of labelling something e this or that. Far from simply denoting that it might be done with computers (and, indeed, what isn't today), Sporton argues that beyond the effect of explaining this is something to do with technology, there is an emergent e-culture that reunites the arts and sciences after two hundred years of separate development within the academy. An e-Culture emerges that reflects the values, opportunities and restrictions of Internet as a research environment. The potential of that environment requires a mindset focussed on collaboration to achieve anything of creative significance.	foucault1979 | hargreaves1982 | kuhn1962 | snow1959 | sporton2007	1	
000075	Siemens, Ray | Leitch, Cara | Blake, Analisa | Armstrong, Karin | Willinsky, John	2010	It May Change My Understanding of the Field: Understanding Reading Tools for Scholars and Professional Readers	Digital Humanities Quarterly	As the amount of scholarly material published in digital form increases, there is growing pressure on content producers to identify the needs of expert readers and to create online tools that satisfy their requirements. Based on the results of a study conducted by the Public Knowledge Project and introduced at Digital Humanities 2006 (Siemens, Willinsky and Blake), continued and augmented since, this paper discusses the reactions of Humanities Computing scholars and graduate students to using a set of online reading tools. The results of our study reveal both the potential strengths and perceived weaknesses of online reading environments. Understanding how users read and evaluate research materials, anticipating users’ expectations of the reading tools and resources, and addressing user concerns about the availability of online material will lead to improvements in the design and features of online publishing.	 | afflerbach1990 | alexander2003 | chen2006 | kopak2006 | pressley1995 | schreibman2004 | siemens | stanitsek2005 | tapor | twomey2007 | willinsky2003 | willinsky2007 | windschuttle1997 | wineburg1991 | wineburg1998 | wyatt1993	1	
000076	Piccini, Angela	2010	Locating Grid Technologies: Performativity, Place, Space: Challenging the Institutionalized Spaces of e-Science	Digital Humanities Quarterly	This paper arises out of a brief period in the early- to mid-2000s when the British funding and research climate facilitated a relationship between the technical, operational language of e-Science and the creative and performing arts. It concerns the ways in which live creative practices produce media traces that are fractured across screens and networks to produce new spatial relations between live events and their records. The split and contradictory subjectivities produced in these highly mediatized environments bring to the fore creative tensions between the live event and the recorded document. That is, the discourses, technologies and practices (if we may separate these) of e-Science not only produce new, spatial connections between events and their archives, they enact the liveness of archives as they are accessed and recombined to produce new art forms. Locating Grid Technologies: Performativity, Place, Space, a research workshop series funded by the A&H e-Science Initiative in its 2006 round, aimed to investigate how e-Science technologies might inform new understandings of space and time for distributed, creative research practices. Arts and technology researchers from the UK, US and Japan met to generate, analyze and re-use audio-visual documents of distributed practice-led research. Specifically, the project sought to combine and repurpose e-Science tools in order to investigate the spatial relationships produced between time-based, live events and their immediately mediatized traces. This paper investigates those performative fragmentations of place and space. It suggests that the potentialities and pitfalls of e-Science tools and technologies present fertile material for the arts researcher, particularly within the area of practice-based research: from the politics of surveillance to the aesthetics of video compression, from the ethics of multidisciplinary collaboration to the theoretical implications of mixing video time and space with the time and space of the performance event.	ahds2006 | ahrc2007 | bergson1912 | birringer1999 | bolter2000 | butler1990 | century2005 | connolly2002 | delahunta2002 | derrida1995 | dixon2007 | flynn2002 | galloway2008 | giannachi2007 | gibson1979 | haraway1998 | imperiale2000 | kittler1999 | leatherbarrow2002 | manovich2002 | melville1851 | phelan1993 | piccini | poindexter2002 | ricoeur1999	1	
000077	Borgman, Christine L.	2010	The Digital Future is Now: A Call to Action for the Humanities	Digital Humanities Quarterly	The digital humanities are at a critical moment in the transition from a specialty area to a full-fledged community with a common set of methods, sources of evidence, and infrastructure — all of which are necessary for achieving academic recognition. As budgets are slashed and marginal programs are eliminated in the current economic crisis, only the most articulate and productive will survive. Digital collections are proliferating, but most remain difficult to use, and digital scholarship remains a backwater in most humanities departments with respect to hiring, promotion, and teaching practices. Only the scholars themselves are in a position to move the field forward. Experiences of the sciences in their initiatives for cyberinfrastructure and eScience offer valuable lessons. Information- and data-intensive, distributed, collaborative, and multi-disciplinary research is now the norm in the sciences, while remaining experimental in the humanities. Discussed here are six factors for comparison, selected for their implications for the future of digital scholarship in the humanities: publication practices, data, research methods, collaboration, incentives, and learning. Drawing upon lessons gleaned from these comparisons, humanities scholars are called to action with five questions to address as a community: What are data? What are the infrastructure requirements? Where are the social studies of digital humanities? What is the humanities laboratory of the 21st century? What is the value proposition for digital humanities in an era of declining budgets?	ainsworth2009 | adho2009 | anderson2004 | arch2004 | arxiv2009 | arzberger2004 | atkins2007 | atkins2003 | ayres2004 | bailey2005 | baker2009 | bates1996a | bates1996b | bates1993 | bates1995 | bell2009 | bollen2008 | borgman1999 | borgman2000 | borgman2007 | borgman2009 | borgman2008 | borgmanetal2007 | buckland1991 | case2006 | cclearn2009 | choudhury2008 | choudhury2007 | crane2006 | crane2007 | crane2001 | creative2009 | cronin2005 | cyber2007 | david2003 | davidspence2003 | digging2009 | dhm2009 | doaj2009 | doar2008 | drucker2009 | duguid2007 | ebird2009 | edwards2007 | ecai2009 | eprints2010 | foster2009 | friedlander2008 | friedlander2009 | frischer2009 | galison1997 | gray2005 | gray2002 | greenstein2004 | hamma2009 | hey2009 | hoofnagle2009 | hypercities2009 | iath2009 | ivanhoe2009 | jaschik2008 | jaschik2009 | jpmc2000 | jsah2009 | kanfer2000 | king2006 | kurtz2010 | llddc2005 | lynch2002 | lynch2003 | lynch1995 | mahoney2002 | manovich2009 | marchionini1994 | mass2006 | mith2009 | monastersky2005 | nctm2009 | ninch2002 | nunberg2009 | oecd2007 | oerc2009 | olson2000 | oaip2009 | oca2009 | opencit2009 | opened2009 | panstarrs2009 | pea2003 | perseus2009 | poe2001 | presner2010 | presner2009 | pb2009 | reedijk2008 | rmoais2002 | rpe2009 | rice2008 | rome2009 | samuelson2009 | scheiner2004 | sc2009 | swaw3c2009 | save2009 | sherpa2009 | siegfried1993 | sloan2006 | smith2002 | stone1982 | src2009a | src2009b | szalay2008 | case2009 | effect2009 | facts2005 | thierstein2009 | tibbo2003 | thl2009 | ukrc2009 | ucgbs2009 | ukda2009 | ucps2009 | unsworth2006 | vanhouse2004 | vectors2009 | whalen2009 | wiberley2003 | wiberley1994 | willinsky2006 | willinsky2009	1	
000078	Hedges, Mark	2010	Grid-enabling Humanities Datasets	Digital Humanities Quarterly	The term grid-enabling is sometimes (or even often) used without a clear idea of what is meant. In this article we attempt to clarify some of the possible meanings of grid-enabling data resources. In particular, we examine how researchers in the humanities may benefit from using such approaches, and examine some concrete case studies in which grid technologies have been used to support data-driven research in the humanities.	blanke2009 | blanke2009a | buyya2005 | foster2002 | foster1999 | fraser2005 | goble2006 | hand2007 | kintigh2006 | walton2005 | yeo2007	1	
000079	Dunn, Stuart | Blanke, Tobias	2010	Digital Humanities Quarterly Special Cluster on Arts and Humanities e-Science	Digital Humanities Quarterly		anderson2007 | dunn2009 | blanke2009 | svensson2009	1	
000080	Svensson, Patrik	2010	The Landscape of Digital Humanities	Digital Humanities Quarterly	The digital humanities is increasingly becoming a buzzword, and there is more and more talk about a broadly conceived, inclusive digital humanities. The field is expanding and at the same time being negotiated, and this article explores the idea of a broadly conceived landscape of digital humanities in some depth. It is argued that awareness across this landscape is important to the future of the field. The study starts out from typologies of digital humanities, a flythrough of the landscape, and a discussion of what being a digital humanist entails. The second part is an exploration of four concrete encounters: ACTLab at University of Texas at Austin, the Humanities Arts Science Technology Advanced Collaboratory (HASTAC), the Humanities Computing Program at the University of Alberta, and Internet Studies. In the third part of the article, it is suggested that a model based on paradigmatic modes of engagement between the humanities and information technology can help chart and understand the digital humanities. The modes of engagement analyzed are technology as a tool, study object, expressive medium, exploratory laboratory and activist venue.	actlab | aoir | bell2007 | bolter2003 | boyd2009 | bradley2008 | braudy2006 | brown2009 | cch2006 | croxall2009 | daniel2007 | davidson2008 | davidson2009 | davidson2004 | dhq2010a | dhq2010b | douglass2009 | drucker2009a | drucker2009b | empyre | french2009a | french2009b | galison1997 | golden2010 | golumbia2009 | hall2008 | haylesa | haylesb | howard2009 | hunsinger2005 | iath | ihde2003 | ish2008 | ippolito2009 | janlert2000 | juhasz2009 | kagan2009 | kirschenbaum2004 | klein1990 | knorr1999 | kroker2008 | lamarre2010 | laue2004 | livingstone2003 | lovgren2004 | mactavish2006 | manovich2009a | manovich2009b | mccarty2009 | mccarty2010 | mcgann2002 | mcgonigal2008 | mcpherson2007 | mcpherson2008 | mcpherson2009a | mcpherson2009b | meloni2009 | navas2009 | parry2010 | peters2009 | pliny2006 | preemptivemedia | presner2009 | presner2010 | rabkin2006 | raley2009 | ratto2006 | rockwell2008 | schnapp2009 | schreibman2004 | shrum2005 | sinclair2002 | sinclair2002a | silver2006 | simanowski2009 | sterne2005 | stockholm1998 | stone2005 | svensson1998 | svensson2009a | svensson2009b | shanks2008 | unsworth1999 | vectors2004 | vectors2006a | vectors2006b | wiberg2005 | woodward2009 | zorich2008 | manifesto | hastac	1	
000081	Barnet, Belinda	2010	Crafting the User-Centered Document Interface: The Hypertext Editing System (HES) and the File Retrieval and Editing System (FRESS)	Digital Humanities Quarterly	This article traces the development of two important hypertext systems in the history of computing, and the new paradigms they created: the Hypertext Editing System (HES) and the File Retrieval and Editing System (FRESS). HES was the world's first word processor to run on commercial equipment. It was also the first hypertext system that beginners could use, and pioneered many modern hypertext concepts for personal use. Although the idea of hypertext predates HES and FRESS, this article argues that these two systems were successful because they demonstrated hypertext to a sceptical public; they were both working prototypes.	barnet2008 | barnet2007 | barnet2006 | barnet2005 | bush1945 | carmody1967 | ceruzzi1998 | childress1998 | conklin1987 | derose1999 | engelbart1999 | nelson1999 | nyce1991 | owens1991 | vandam1987 | vandam1999 | wardrip2003 | wolf1995	1	
